First name;Sur name;Issue count;Date of birth
Dennie;Klotz;0;1924-04-03T00:00:00
Janey;Hylan;13;1932-11-21T00:00:00
Lily;Trey;8;1930-10-16T00:00:00
Bobinette;Berriman;4;2016-11-14T00:00:00
Kathy;Ricki;4;1914-07-14T00:00:00
Blondelle;Rurik;13;1939-11-06T00:00:00
Gianina;Swanhildas;3;1982-01-10T00:00:00
Patricia;Leler;1;1984-03-13T00:00:00
Rochette;O'Carroll;14;1974-01-22T00:00:00
Sheree;Barrus;14;2014-08-14T00:00:00
Claudina;Chobot;9;1970-12-13T00:00:00
Jenda;Rodmann;4;1946-11-01T00:00:00
Jere;Agle;6;1901-04-11T00:00:00
Coral;Kosey;17;1964-09-21T00:00:00
Althea;Tybald;10;1907-04-02T00:00:00
Rebeca;Rolf;14;1936-04-03T00:00:00
Joane;Sidonius;16;1923-09-10T00:00:00
Fanny;Thomasina;2;2018-01-13T00:00:00
Amii;Ellerey;18;2002-02-02T00:00:00
Juliane;Milson;17;1922-09-12T00:00:00
Lyssa;Bach;18;1940-11-13T00:00:00
Nita;Toffic;5;1973-05-02T00:00:00
Deloria;Margret;4;2001-05-02T00:00:00
Tami;Israeli;11;1960-02-21T00:00:00
Tori;Louanna;1;1979-06-22T00:00:00
Loree;Behre;14;1923-07-03T00:00:00
Lynnea;Adalbert;3;2014-08-03T00:00:00
Margette;Glenden;16;1961-03-18T00:00:00
Livvyy;Nicoline;16;1961-12-12T00:00:00
Ruthe;Iaverne;17;1973-05-28T00:00:00
Kaia;Johnsson;7;1994-08-29T00:00:00
Dorene;Fredi;12;1908-06-29T00:00:00
Frances;Sheedy;21;1920-06-09T00:00:00
Corene;Shelba;4;1952-10-22T00:00:00
Jenda;Valerio;8;1955-02-14T00:00:00
Leona;Stevy;10;1964-06-22T00:00:00
Mureil;Sisile;18;1921-11-19T00:00:00
Raquela;Iphlgenia;11;1900-02-05T00:00:00
Ursulina;Wildermuth;0;2003-01-18T00:00:00
Hollie;Firmin;14;1993-04-06T00:00:00
Louella;Joni;0;1935-05-10T00:00:00
Betta;Gavrila;7;1994-07-09T00:00:00
Magdalena;Billye;10;2004-09-21T00:00:00
Cacilie;Clara;0;1980-10-14T00:00:00
Judy;Lamoree;0;1941-12-09T00:00:00
Evaleen;Adore;14;1948-05-01T00:00:00
Riannon;Geffner;5;1983-03-25T00:00:00
Merrie;Halla;11;1926-07-11T00:00:00
June;Franza;6;1997-10-21T00:00:00
Corene;Ferrell;18;1945-03-04T00:00:00
Alex;Santoro;0;1907-02-22T00:00:00
Edith;Daniele;13;2002-01-06T00:00:00
Fina;Regan;0;1985-06-12T00:00:00
Susan;Avi;15;1953-09-07T00:00:00
Marcy;Merriott;0;1921-07-04T00:00:00
Lily;Karylin;2;1930-12-31T00:00:00
Dari;Arley;6;2018-05-22T00:00:00
Mureil;Reinke;8;1955-07-16T00:00:00
Anestassia;Scammon;14;1989-07-15T00:00:00
Meg;Simmonds;15;1975-06-05T00:00:00
Sallie;Gillan;17;2000-01-17T00:00:00
Amalie;Drus;5;1953-11-12T00:00:00
Edith;Maples;1;1983-07-25T00:00:00
Lucy;Bultman;4;1983-07-23T00:00:00
Lucy;Ophelia;15;2010-09-27T00:00:00
Tierney;Jorgan;7;2014-02-06T00:00:00
Bobbi;Curren;0;1976-05-14T00:00:00
Therine;Ochs;0;1903-02-28T00:00:00
Lynde;Faso;17;1930-08-04T00:00:00
Leanna;Hazlett;12;1996-11-24T00:00:00
Winny;Glenden;11;1945-12-07T00:00:00
Sadie;Grobe;12;1915-05-16T00:00:00
Elmira;Merat;10;1941-11-09T00:00:00
Sophia;Sharl;2;1953-06-07T00:00:00
Ardeen;Stephie;18;2014-03-26T00:00:00
Flory;Rese;13;2003-07-04T00:00:00
Jacquetta;Yerkovich;3;2005-12-07T00:00:00
Kamilah;Harned;2;1908-11-07T00:00:00
Clarice;Beebe;1;1927-04-19T00:00:00
Georgetta;Seagraves;12;1973-08-08T00:00:00
Vanessa;Kendrick;2;1940-03-29T00:00:00
Katuscha;Bluh;2;1995-09-07T00:00:00
Therine;Lattie;4;2016-02-17T00:00:00
Jackie;Cimbura;11;1944-12-09T00:00:00
Rosaline;Lasley;9;1967-08-22T00:00:00
Starla;Vorster;3;1907-10-12T00:00:00
Meg;Swigart;0;1944-08-27T00:00:00
Caressa;Erich;13;1938-05-09T00:00:00
Robbi;Stanwood;6;1924-08-01T00:00:00
Dorthy;Catie;5;1992-06-25T00:00:00
Vevay;Schroth;2;1993-10-09T00:00:00
Kaja;Nance;13;1978-01-26T00:00:00
Abbie;Sothena;1;1902-04-18T00:00:00
Yetty;Ochs;5;1987-08-31T00:00:00
Charmaine;Edison;6;1962-12-03T00:00:00
Nicoli;Ehrman;1;1919-11-01T00:00:00
Jessamyn;Edvard;4;1944-01-28T00:00:00
Ericka;Thar;11;2010-07-26T00:00:00
Annabela;Colyer;10;1977-07-25T00:00:00
Sybille;Hoenack;15;2006-05-12T00:00:00
Cherilyn;Sikorski;13;1940-12-01T00:00:00
Bernardine;Toffic;13;2003-04-09T00:00:00
Christy;Plato;1;1987-05-14T00:00:00
Deirdre;Travax;6;1900-03-15T00:00:00
Mahalia;O'Carroll;19;1970-01-17T00:00:00
Hyacinthe;Kolnick;15;1915-06-13T00:00:00
Oona;Silvan;9;1996-09-06T00:00:00
Shauna;Garek;0;1984-12-17T00:00:00
Nickie;Wolfgram;16;1914-08-03T00:00:00
Micheline;Heidt;15;1979-11-10T00:00:00
Joceline;Trace;3;1996-01-28T00:00:00
Britni;Kesley;10;1999-06-28T00:00:00
Alexine;Holtz;10;1915-11-12T00:00:00
Lauryn;An;8;1934-09-04T00:00:00
Mahalia;Gwenore;15;1997-05-06T00:00:00
Frank;Shelba;0;1945-09-26T00:00:00
Quintina;Schenck;13;1902-10-08T00:00:00
Olwen;Maribeth;6;1970-08-01T00:00:00
Bee;Mallon;7;1949-06-25T00:00:00
Belva;Baudin;11;1978-01-27T00:00:00
Tracey;Bakerman;10;1907-06-15T00:00:00
Giustina;Harned;1;1912-09-22T00:00:00
Alyssa;Regan;0;1991-04-30T00:00:00
Dode;Joni;7;1974-05-19T00:00:00
Oona;Duwalt;0;1937-08-14T00:00:00
Alie;Sundin;0;1975-04-08T00:00:00
Marleah;Heidt;1;1976-10-05T00:00:00
Modestia;Dearborn;14;2000-07-22T00:00:00
Layla;Weitman;7;2001-01-08T00:00:00
Aeriela;Warthman;2;1927-03-26T00:00:00
Genovera;Shaver;14;1972-03-08T00:00:00
Elise;Linehan;13;2001-05-15T00:00:00
Cherilyn;Ilka;9;1987-07-01T00:00:00
Gusty;Lalitta;7;1969-11-02T00:00:00
Sharlene;Helve;0;1926-08-30T00:00:00
Allis;Dahlia;0;1921-02-12T00:00:00
Brietta;Tybald;4;1919-11-26T00:00:00
Aurore;Lilas;17;2001-12-11T00:00:00
Penelopa;Charmine;0;1934-01-01T00:00:00
Joelly;Colp;13;1933-09-17T00:00:00
Anthia;Peti;0;1924-03-29T00:00:00
Raf;Lissi;0;1975-06-01T00:00:00
Leeanne;Cullin;13;2017-07-02T00:00:00
Frieda;Rosette;17;1931-10-23T00:00:00
Dawn;Daegal;3;2005-07-13T00:00:00
Etta;Urania;17;1913-04-01T00:00:00
Christian;Velick;3;1980-07-19T00:00:00
Elyssa;Felizio;15;1997-10-09T00:00:00
Therine;Bow;8;1956-03-01T00:00:00
Corene;Zetta;8;1964-11-19T00:00:00
Norine;Middleton;9;1908-12-15T00:00:00
Joleen;Screens;1;2003-04-07T00:00:00
Linet;Leffen;15;1916-06-12T00:00:00
Gilda;Sheng;0;1900-05-19T00:00:00
Janey;Rugen;4;1999-10-20T00:00:00
Albertina;Tayib;0;2019-05-11T00:00:00
Claudina;Standing;15;1909-09-03T00:00:00
Verla;Baptlsta;0;1908-04-02T00:00:00
Cissiee;Llovera;11;1925-02-28T00:00:00
Nicoli;Henebry;7;1987-09-25T00:00:00
Jacenta;Melan;7;1994-11-19T00:00:00
Drucie;Hanshaw;0;1928-10-16T00:00:00
Shell;Riordan;8;1986-12-18T00:00:00
Chandra;Randene;6;2010-10-28T00:00:00
Katuscha;Odell;15;1955-09-05T00:00:00
Lorie;Alexandr;0;1907-07-14T00:00:00
Mariann;Abernon;15;2019-04-15T00:00:00
Aryn;Jess;2;1958-04-20T00:00:00
Orelia;Hashim;2;2005-01-28T00:00:00
Steffane;Gaynor;4;1938-06-26T00:00:00
Felice;Hebner;1;2019-04-23T00:00:00
Anestassia;Poppy;5;1977-10-08T00:00:00
Michaelina;Sheedy;9;1930-02-03T00:00:00
Deloria;Hieronymus;15;1921-05-14T00:00:00
Maisey;Darbie;6;1901-12-07T00:00:00
Audrie;Sisile;9;1996-12-02T00:00:00
Demetris;Alfons;12;1953-04-16T00:00:00
Nyssa;Kathie;2;1942-05-08T00:00:00
Marleah;Schonfeld;7;1910-02-22T00:00:00
Bibby;Byrne;10;2014-10-02T00:00:00
Chickie;Klotz;0;1928-10-02T00:00:00
Judy;Rodmann;11;1930-09-28T00:00:00
Deedee;Jacqui;18;1939-07-24T00:00:00
Alameda;Sophronia;0;2011-03-22T00:00:00
Jany;Rheingold;10;1942-10-12T00:00:00
Maurene;Baptlsta;15;1909-01-08T00:00:00
Nollie;Zaslow;18;1996-03-20T00:00:00
Tilly;Felecia;1;1942-07-05T00:00:00
Cam;Daveta;0;1930-05-01T00:00:00
Juliane;Carleen;0;1982-02-02T00:00:00
Georgina;Mozelle;0;1903-02-05T00:00:00
Tamqrah;Vivle;8;1966-07-17T00:00:00
Merrie;Shaddock;10;1974-09-07T00:00:00
Clementine;Paton;0;1981-01-13T00:00:00
Flo;Seessel;0;1904-11-17T00:00:00
Lory;Emmaline;0;1948-07-07T00:00:00
Collen;Natica;8;1908-10-28T00:00:00
Sashenka;Schonfeld;13;1984-06-05T00:00:00
Chickie;Karna;16;1933-10-11T00:00:00
Pierette;Lory;17;1934-05-31T00:00:00
Dione;Kaete;12;1902-08-14T00:00:00
Cassandra;Mallon;8;1962-05-14T00:00:00
Debee;Maiah;0;1913-11-24T00:00:00
Edee;Madox;4;1987-06-20T00:00:00
Rosanne;Monk;13;1950-01-09T00:00:00
Philis;Slifka;13;1970-11-08T00:00:00
Ofilia;Cohdwell;16;1972-06-02T00:00:00
Daphne;Oster;7;2002-02-19T00:00:00
Alie;Concha;10;1987-01-23T00:00:00
Camile;Gillan;10;1959-06-20T00:00:00
Clo;Milde;1;1953-10-13T00:00:00
Leia;Kimmie;0;1936-10-13T00:00:00
Ofilia;Narton;3;1996-10-15T00:00:00
Kylynn;Wildermuth;0;1918-09-11T00:00:00
Evaleen;Reidar;19;1975-04-28T00:00:00
Cam;Kevon;6;1931-02-04T00:00:00
Nessie;Margret;0;1999-05-09T00:00:00
Beth;Krystle;7;1947-03-18T00:00:00
Felice;Heisel;10;1985-12-14T00:00:00
Marika;Bates;20;1946-01-22T00:00:00
Lilith;LaRue;13;2010-09-23T00:00:00
Margette;Kylander;13;1907-06-24T00:00:00
Georgina;Behre;16;1935-04-10T00:00:00
Ricky;Weitman;10;1906-04-28T00:00:00
Deane;Ellord;18;1948-04-17T00:00:00
Moyna;Orpah;3;1926-08-29T00:00:00
Blinni;Jarib;0;1900-09-19T00:00:00
Mahalia;Karl;11;2007-09-08T00:00:00
Winny;Wildermuth;15;1938-07-20T00:00:00
Kassey;Atcliffe;1;1950-03-26T00:00:00
Kathy;Harned;16;1980-02-10T00:00:00
Margette;Sophronia;10;1962-10-20T00:00:00
Annice;Fairweather;14;1908-05-26T00:00:00
Layla;Trinetta;9;1976-08-29T00:00:00
Anthia;Rad;20;1906-12-01T00:00:00
Meg;Linskey;9;1983-01-30T00:00:00
Lila;Azeria;13;2013-01-23T00:00:00
Carmencita;Garlinda;0;2013-03-23T00:00:00
Kristan;Dunkin;10;1994-07-09T00:00:00
Lynea;Corabella;11;2003-10-06T00:00:00
Sharai;Iiette;5;2001-09-04T00:00:00
Valli;Gombach;14;1907-06-07T00:00:00
Chere;Marcellus;6;1987-04-12T00:00:00
Estell;Glenden;0;1944-05-01T00:00:00
Alyda;Pattin;14;1990-08-13T00:00:00
Tiffie;Graig;0;2016-04-25T00:00:00
Lisette;Astra;0;1985-05-26T00:00:00
Brana;Hachmin;0;1918-09-05T00:00:00
Tani;Tayib;10;1967-11-28T00:00:00
Corly;Phi;0;2013-01-25T00:00:00
Jaclyn;Destinee;12;1964-03-15T00:00:00
Adore;Artie;1;1905-02-17T00:00:00
Arlena;Hourigan;18;1917-08-10T00:00:00
Oona;Schlosser;1;1982-12-20T00:00:00
Annaliese;Faust;17;1966-01-31T00:00:00
Danika;Arvo;18;1945-09-12T00:00:00
Oralee;Sekofski;12;1966-06-19T00:00:00
Diena;Edvard;3;1960-07-15T00:00:00
Larine;Brenn;6;1914-05-22T00:00:00
Rivalee;Clarissa;15;1903-09-01T00:00:00
Babita;Tatianas;16;2009-02-20T00:00:00
Christy;Erich;13;2006-10-18T00:00:00
Tersina;Ball;9;1962-03-03T00:00:00
Christal;Voletta;6;2018-03-14T00:00:00
Frieda;Chrystel;3;1999-02-22T00:00:00
Annice;Salchunas;17;1980-11-22T00:00:00
Tori;Sasnett;1;1955-06-26T00:00:00
Magdalena;Joli;15;1996-06-26T00:00:00
Bettine;Devlen;4;1975-03-04T00:00:00
Kaia;Klemperer;0;1913-08-17T00:00:00
Sidoney;Jehu;11;1957-03-14T00:00:00
Calla;Kermit;13;1967-04-24T00:00:00
Alyda;Bord;7;2005-08-05T00:00:00
Codie;Orlene;6;2015-12-19T00:00:00
Renie;Brodench;4;1926-05-28T00:00:00
Flo;Darrell;0;2005-09-13T00:00:00
Pearline;Palocz;15;1950-07-27T00:00:00
Eugine;Malanie;5;1945-05-07T00:00:00
Leona;Gherardo;13;1980-07-01T00:00:00
Gusty;Sherfield;14;2003-08-11T00:00:00
Cristine;Bebe;9;1904-10-07T00:00:00
Nonnah;Astra;20;1999-08-30T00:00:00
Diena;Selway;0;1933-08-19T00:00:00
Gale;Wolfgram;0;1915-05-02T00:00:00
Mellicent;Pattin;14;2019-06-11T00:00:00
Gisela;Erlandson;13;2009-09-04T00:00:00
Mignon;Millda;16;1968-04-30T00:00:00
Sophia;Shelba;6;1932-02-03T00:00:00
Katuscha;Adore;1;1943-12-26T00:00:00
Fredericka;Gaal;5;1971-08-29T00:00:00
Amalie;Crudden;10;1926-02-07T00:00:00
Ulrike;Cullin;1;1960-11-17T00:00:00
Genevra;Belanger;3;1974-09-05T00:00:00
Dominga;Huggins;6;1993-08-26T00:00:00
Jobi;Pattin;7;1938-08-30T00:00:00
Andree;Bryna;15;1975-07-22T00:00:00
Dania;Maisey;11;1916-08-07T00:00:00
Raf;Anselmi;6;1922-02-09T00:00:00
Cordi;Holbrook;18;1955-05-09T00:00:00
Linzy;Ehrman;8;1959-10-27T00:00:00
Johna;Leonard;8;1983-06-19T00:00:00
Barbi;Othilia;13;2002-08-30T00:00:00
Korrie;Narton;15;1926-06-09T00:00:00
Augustine;Muriel;1;1970-02-03T00:00:00
Madalyn;Arvo;1;1957-12-22T00:00:00
Clementine;Rogerio;12;1902-04-14T00:00:00
Kore;Amadas;5;1994-05-22T00:00:00
Ingrid;Sallyann;3;1952-11-08T00:00:00
Demetris;Jefferey;4;2003-09-04T00:00:00
Hallie;Letsou;9;1992-07-21T00:00:00
Olivette;Zaslow;11;2014-09-13T00:00:00
Merry;Schalles;9;2003-05-25T00:00:00
Fernande;Decato;7;1939-09-12T00:00:00
Aryn;Lemuela;9;1922-11-20T00:00:00
Keelia;Honoria;9;1968-04-27T00:00:00
Florie;Tjon;0;1924-02-17T00:00:00
Winifred;Verger;11;1938-07-24T00:00:00
Dari;Thad;3;1972-09-19T00:00:00
Sidoney;Anastatius;10;1999-11-20T00:00:00
Ruthe;Harday;16;1973-10-20T00:00:00
